Season_End_Year,Team,Rk
1993,Arsenal,10
1993,Aston Villa,2
1993,Blackburn,4
1993,Chelsea,11
1993,Coventry City,15
1993,Crystal Palace,20
1993,Everton,13
1993,Ipswich Town,16
1993,Leeds United,17
1993,Liverpool,6
1993,Manchester City,9
1993,Manchester Utd,1
1993,Middlesbrough,21
1993,Norwich City,3
1993,Nott'ham Forest,22
1993,Oldham Athletic,19
1993,QPR,5
1993,Sheffield Utd,14
1993,Sheffield Weds,7
1993,Southampton,18
1993,Tottenham,8
1993,Wimbledon,12
1994,Arsenal,4
1994,Aston Villa,10
1994,Blackburn,2
1994,Chelsea,14
1994,Coventry City,11
1994,Everton,17
1994,Ipswich Town,19
1994,Leeds United,5
1994,Liverpool,8
1994,Manchester City,16
1994,Manchester Utd,1
1994,Newcastle Utd,3
1994,Norwich City,12
1994,Oldham Athletic,21
1994,QPR,9
1994,Sheffield Utd,20
1994,Sheffield Weds,7
1994,Southampton,18
1994,Swindon Town,22
1994,Tottenham,15
1994,West Ham,13
1994,Wimbledon,6
1995,Arsenal,12
1995,Aston Villa,18
1995,Blackburn,1
1995,Chelsea,11
1995,Coventry City,16
1995,Crystal Palace,19
1995,Everton,15
1995,Ipswich Town,22
1995,Leeds United,5
1995,Leicester City,21
1995,Liverpool,4
1995,Manchester City,17
1995,Manchester Utd,2
1995,Newcastle Utd,6
1995,Norwich City,20
1995,Nott'ham Forest,3
1995,QPR,8
1995,Sheffield Weds,13
1995,Southampton,10
1995,Tottenham,7
1995,West Ham,14
1995,Wimbledon,9
1996,Arsenal,5
1996,Aston Villa,4
1996,Blackburn,7
1996,Bolton,20
1996,Chelsea,11
1996,Coventry City,16
1996,Everton,6
1996,Leeds United,13
1996,Liverpool,3
1996,Manchester City,18
1996,Manchester Utd,1
1996,Middlesbrough,12
1996,Newcastle Utd,2
1996,Nott'ham Forest,9
1996,QPR,19
1996,Sheffield Weds,15
1996,Southampton,17
1996,Tottenham,8
1996,West Ham,10
1996,Wimbledon,14
1997,Arsenal,3
1997,Aston Villa,5
1997,Blackburn,13
1997,Chelsea,6
1997,Coventry City,17
1997,Derby County,12
1997,Everton,15
1997,Leeds United,11
1997,Leicester City,9
1997,Liverpool,4
1997,Manchester Utd,1
1997,Middlesbrough,19
1997,Newcastle Utd,2
1997,Nott'ham Forest,20
1997,Sheffield Weds,7
1997,Southampton,16
1997,Sunderland,18
1997,Tottenham,10
1997,West Ham,14
1997,Wimbledon,8
1998,Arsenal,1
1998,Aston Villa,7
1998,Barnsley,19
1998,Blackburn,6
1998,Bolton,18
1998,Chelsea,4
1998,Coventry City,11
1998,Crystal Palace,20
1998,Derby County,9
1998,Everton,17
1998,Leeds United,5
1998,Leicester City,10
1998,Liverpool,3
1998,Manchester Utd,2
1998,Newcastle Utd,13
1998,Sheffield Weds,16
1998,Southampton,12
1998,Tottenham,14
1998,West Ham,8
1998,Wimbledon,15
1999,Arsenal,2
1999,Aston Villa,6
1999,Blackburn,19
1999,Charlton Ath,18
1999,Chelsea,3
1999,Coventry City,15
1999,Derby County,8
1999,Everton,14
1999,Leeds United,4
1999,Leicester City,10
1999,Liverpool,7
1999,Manchester Utd,1
1999,Middlesbrough,9
1999,Newcastle Utd,13
1999,Nott'ham Forest,20
1999,Sheffield Weds,12
1999,Southampton,17
1999,Tottenham,11
1999,West Ham,5
1999,Wimbledon,16
2000,Arsenal,2
2000,Aston Villa,6
2000,Bradford City,17
2000,Chelsea,5
2000,Coventry City,14
2000,Derby County,16
2000,Everton,13
2000,Leeds United,3
2000,Leicester City,8
2000,Liverpool,4
2000,Manchester Utd,1
2000,Middlesbrough,12
2000,Newcastle Utd,11
2000,Sheffield Weds,19
2000,Southampton,15
2000,Sunderland,7
2000,Tottenham,10
2000,Watford,20
2000,West Ham,9
2000,Wimbledon,18
2001,Arsenal,2
2001,Aston Villa,8
2001,Bradford City,20
2001,Charlton Ath,9
2001,Chelsea,6
2001,Coventry City,19
2001,Derby County,17
2001,Everton,16
2001,Ipswich Town,5
2001,Leeds United,4
2001,Leicester City,13
2001,Liverpool,3
2001,Manchester City,18
2001,Manchester Utd,1
2001,Middlesbrough,14
2001,Newcastle Utd,11
2001,Southampton,10
2001,Sunderland,7
2001,Tottenham,12
2001,West Ham,15
2002,Arsenal,1
2002,Aston Villa,8
2002,Blackburn,10
2002,Bolton,16
2002,Charlton Ath,14
2002,Chelsea,6
2002,Derby County,19
2002,Everton,15
2002,Fulham,13
2002,Ipswich Town,18
2002,Leeds United,5
2002,Leicester City,20
2002,Liverpool,2
2002,Manchester Utd,3
2002,Middlesbrough,12
2002,Newcastle Utd,4
2002,Southampton,11
2002,Sunderland,17
2002,Tottenham,9
2002,West Ham,7
2003,Arsenal,2
2003,Aston Villa,16
2003,Birmingham City,13
2003,Blackburn,6
2003,Bolton,17
2003,Charlton Ath,12
2003,Chelsea,4
2003,Everton,7
2003,Fulham,14
2003,Leeds United,15
2003,Liverpool,5
2003,Manchester City,9
2003,Manchester Utd,1
2003,Middlesbrough,11
2003,Newcastle Utd,3
2003,Southampton,8
2003,Sunderland,20
2003,Tottenham,10
2003,West Brom,19
2003,West Ham,18
2004,Arsenal,1
2004,Aston Villa,6
2004,Birmingham City,10
2004,Blackburn,15
2004,Bolton,8
2004,Charlton Ath,7
2004,Chelsea,2
2004,Everton,17
2004,Fulham,9
2004,Leeds United,19
2004,Leicester City,18
2004,Liverpool,4
2004,Manchester City,16
2004,Manchester Utd,3
2004,Middlesbrough,11
2004,Newcastle Utd,5
2004,Portsmouth,13
2004,Southampton,12
2004,Tottenham,14
2004,Wolves,20
2005,Arsenal,2
2005,Aston Villa,10
2005,Birmingham City,12
2005,Blackburn,15
2005,Bolton,6
2005,Charlton Ath,11
2005,Chelsea,1
2005,Crystal Palace,18
2005,Everton,4
2005,Fulham,13
2005,Liverpool,5
2005,Manchester City,8
2005,Manchester Utd,3
2005,Middlesbrough,7
2005,Newcastle Utd,14
2005,Norwich City,19
2005,Portsmouth,16
2005,Southampton,20
2005,Tottenham,9
2005,West Brom,17
2006,Arsenal,4
2006,Aston Villa,16
2006,Birmingham City,18
2006,Blackburn,6
2006,Bolton,8
2006,Charlton Ath,13
2006,Chelsea,1
2006,Everton,11
2006,Fulham,12
2006,Liverpool,3
2006,Manchester City,15
2006,Manchester Utd,2
2006,Middlesbrough,14
2006,Newcastle Utd,7
2006,Portsmouth,17
2006,Sunderland,20
2006,Tottenham,5
2006,West Brom,19
2006,West Ham,9
2006,Wigan Athletic,10
2007,Arsenal,4
2007,Aston Villa,11
2007,Blackburn,10
2007,Bolton,7
2007,Charlton Ath,19
2007,Chelsea,2
2007,Everton,6
2007,Fulham,16
2007,Liverpool,3
2007,Manchester City,14
2007,Manchester Utd,1
2007,Middlesbrough,12
2007,Newcastle Utd,13
2007,Portsmouth,9
2007,Reading,8
2007,Sheffield Utd,18
2007,Tottenham,5
2007,Watford,20
2007,West Ham,15
2007,Wigan Athletic,17
2008,Arsenal,3
2008,Aston Villa,6
2008,Birmingham City,19
2008,Blackburn,7
2008,Bolton,16
2008,Chelsea,2
2008,Derby County,20
2008,Everton,5
2008,Fulham,17
2008,Liverpool,4
2008,Manchester City,9
2008,Manchester Utd,1
2008,Middlesbrough,13
2008,Newcastle Utd,12
2008,Portsmouth,8
2008,Reading,18
2008,Sunderland,15
2008,Tottenham,11
2008,West Ham,10
2008,Wigan Athletic,14
2009,Arsenal,4
2009,Aston Villa,6
2009,Blackburn,15
2009,Bolton,13
2009,Chelsea,3
2009,Everton,5
2009,Fulham,7
2009,Hull City,17
2009,Liverpool,2
2009,Manchester City,10
2009,Manchester Utd,1
2009,Middlesbrough,19
2009,Newcastle Utd,18
2009,Portsmouth,14
2009,Stoke City,12
2009,Sunderland,16
2009,Tottenham,8
2009,West Brom,20
2009,West Ham,9
2009,Wigan Athletic,11
2010,Arsenal,3
2010,Aston Villa,6
2010,Birmingham City,9
2010,Blackburn,10
2010,Bolton,14
2010,Burnley,18
2010,Chelsea,1
2010,Everton,8
2010,Fulham,12
2010,Hull City,19
2010,Liverpool,7
2010,Manchester City,5
2010,Manchester Utd,2
2010,Portsmouth,20
2010,Stoke City,11
2010,Sunderland,13
2010,Tottenham,4
2010,West Ham,17
2010,Wigan Athletic,16
2010,Wolves,15
2011,Arsenal,4
2011,Aston Villa,9
2011,Birmingham City,18
2011,Blackburn,15
2011,Blackpool,19
2011,Bolton,14
2011,Chelsea,2
2011,Everton,7
2011,Fulham,8
2011,Liverpool,6
2011,Manchester City,3
2011,Manchester Utd,1
2011,Newcastle Utd,12
2011,Stoke City,13
2011,Sunderland,10
2011,Tottenham,5
2011,West Brom,11
2011,West Ham,20
2011,Wigan Athletic,16
2011,Wolves,17
2012,Arsenal,3
2012,Aston Villa,16
2012,Blackburn,19
2012,Bolton,18
2012,Chelsea,6
2012,Everton,7
2012,Fulham,9
2012,Liverpool,8
2012,Manchester City,1
2012,Manchester Utd,2
2012,Newcastle Utd,5
2012,Norwich City,12
2012,QPR,17
2012,Stoke City,14
2012,Sunderland,13
2012,Swansea City,11
2012,Tottenham,4
2012,West Brom,10
2012,Wigan Athletic,15
2012,Wolves,20
2013,Arsenal,4
2013,Aston Villa,15
2013,Chelsea,3
2013,Everton,6
2013,Fulham,12
2013,Liverpool,7
2013,Manchester City,2
2013,Manchester Utd,1
2013,Newcastle Utd,16
2013,Norwich City,11
2013,QPR,20
2013,Reading,19
2013,Southampton,14
2013,Stoke City,13
2013,Sunderland,17
2013,Swansea City,9
2013,Tottenham,5
2013,West Brom,8
2013,West Ham,10
2013,Wigan Athletic,18
2014,Arsenal,4
2014,Aston Villa,15
2014,Cardiff City,20
2014,Chelsea,3
2014,Crystal Palace,11
2014,Everton,5
2014,Fulham,19
2014,Hull City,16
2014,Liverpool,2
2014,Manchester City,1
2014,Manchester Utd,7
2014,Newcastle Utd,10
2014,Norwich City,18
2014,Southampton,8
2014,Stoke City,9
2014,Sunderland,14
2014,Swansea City,12
2014,Tottenham,6
2014,West Brom,17
2014,West Ham,13
2015,Arsenal,3
2015,Aston Villa,17
2015,Burnley,19
2015,Chelsea,1
2015,Crystal Palace,10
2015,Everton,11
2015,Hull City,18
2015,Leicester City,14
2015,Liverpool,6
2015,Manchester City,2
2015,Manchester Utd,4
2015,Newcastle Utd,15
2015,QPR,20
2015,Southampton,7
2015,Stoke City,9
2015,Sunderland,16
2015,Swansea City,8
2015,Tottenham,5
2015,West Brom,13
2015,West Ham,12
2016,Arsenal,2
2016,Aston Villa,20
2016,Bournemouth,16
2016,Chelsea,10
2016,Crystal Palace,15
2016,Everton,11
2016,Leicester City,1
2016,Liverpool,8
2016,Manchester City,4
2016,Manchester Utd,5
2016,Newcastle Utd,18
2016,Norwich City,19
2016,Southampton,6
2016,Stoke City,9
2016,Sunderland,17
2016,Swansea City,12
2016,Tottenham,3
2016,Watford,13
2016,West Brom,14
2016,West Ham,7
2017,Arsenal,5
2017,Bournemouth,9
2017,Burnley,16
2017,Chelsea,1
2017,Crystal Palace,14
2017,Everton,7
2017,Hull City,18
2017,Leicester City,12
2017,Liverpool,4
2017,Manchester City,3
2017,Manchester Utd,6
2017,Middlesbrough,19
2017,Southampton,8
2017,Stoke City,13
2017,Sunderland,20
2017,Swansea City,15
2017,Tottenham,2
2017,Watford,17
2017,West Brom,10
2017,West Ham,11
2018,Arsenal,6
2018,Bournemouth,12
2018,Brighton,15
2018,Burnley,7
2018,Chelsea,5
2018,Crystal Palace,11
2018,Everton,8
2018,Huddersfield,16
2018,Leicester City,9
2018,Liverpool,4
2018,Manchester City,1
2018,Manchester Utd,2
2018,Newcastle Utd,10
2018,Southampton,17
2018,Stoke City,19
2018,Swansea City,18
2018,Tottenham,3
2018,Watford,14
2018,West Brom,20
2018,West Ham,13
2019,Arsenal,5
2019,Bournemouth,14
2019,Brighton,17
2019,Burnley,15
2019,Cardiff City,18
2019,Chelsea,3
2019,Crystal Palace,12
2019,Everton,8
2019,Fulham,19
2019,Huddersfield,20
2019,Leicester City,9
2019,Liverpool,2
2019,Manchester City,1
2019,Manchester Utd,6
2019,Newcastle Utd,13
2019,Southampton,16
2019,Tottenham,4
2019,Watford,11
2019,West Ham,10
2019,Wolves,7
2020,Arsenal,8
2020,Aston Villa,17
2020,Bournemouth,18
2020,Brighton,15
2020,Burnley,10
2020,Chelsea,4
2020,Crystal Palace,14
2020,Everton,12
2020,Leicester City,5
2020,Liverpool,1
2020,Manchester City,2
2020,Manchester Utd,3
2020,Newcastle Utd,13
2020,Norwich City,20
2020,Sheffield Utd,9
2020,Southampton,11
2020,Tottenham,6
2020,Watford,19
2020,West Ham,16
2020,Wolves,7
2021,Arsenal,8
2021,Aston Villa,11
2021,Brighton,16
2021,Burnley,17
2021,Chelsea,4
2021,Crystal Palace,14
2021,Everton,10
2021,Fulham,18
2021,Leeds United,9
2021,Leicester City,5
2021,Liverpool,3
2021,Manchester City,1
2021,Manchester Utd,2
2021,Newcastle Utd,12
2021,Sheffield Utd,20
2021,Southampton,15
2021,Tottenham,7
2021,West Brom,19
2021,West Ham,6
2021,Wolves,13
2022,Arsenal,5
2022,Aston Villa,14
2022,Brentford,13
2022,Brighton,9
2022,Burnley,18
2022,Chelsea,3
2022,Crystal Palace,12
2022,Everton,16
2022,Leeds United,17
2022,Leicester City,8
2022,Liverpool,2
2022,Manchester City,1
2022,Manchester Utd,6
2022,Newcastle Utd,11
2022,Norwich City,20
2022,Southampton,15
2022,Tottenham,4
2022,Watford,19
2022,West Ham,7
2022,Wolves,10
2023,Arsenal,2
2023,Aston Villa,7
2023,Bournemouth,15
2023,Brentford,9
2023,Brighton,6
2023,Chelsea,12
2023,Crystal Palace,11
2023,Everton,17
2023,Fulham,10
2023,Leeds United,19
2023,Leicester City,18
2023,Liverpool,5
2023,Manchester City,1
2023,Manchester Utd,3
2023,Newcastle Utd,4
2023,Nott'ham Forest,16
2023,Southampton,20
2023,Tottenham,8
2023,West Ham,14
2023,Wolves,13
